var-posibles_valores,var_alias-posibles_valores_alias
acciones_perder_peso_2-eliminar el consumo de refrescos?,a0110b-5
acciones_perder_peso_2-aumentar el consumo de vegetales y alimentos ricos en fibra,a0110b-6
acciones_perder_peso_2-realizar algún tipo de ejercicio?,a0110b-7
acciones_perder_peso_2-tomar mucha agua?,a0110b-8
acciones_perder_peso_2-Otra forma (especifica).,a0110b-9
acciones_perder_peso_3-disminuir el tamaño de las porciones?,a0110c-1
acciones_perder_peso_3-aumentar la actividad física?,a0110c-2
acciones_perder_peso_3-seguir las recomendaciones de un profesional de la salud?,a0110c-3
acciones_perder_peso_3-tomar medicamentos para perder peso?,a0110c-4
acciones_perder_peso_3-eliminar el consumo de refrescos?,a0110c-5
acciones_perder_peso_3-aumentar el consumo de vegetales y alimentos ricos en fibra,a0110c-6
acciones_perder_peso_3-realizar algún tipo de ejercicio?,a0110c-7
acciones_perder_peso_3-tomar mucha agua?,a0110c-8
acciones_perder_peso_3-Otra forma (especifica).,a0110c-9
ultima_semana_tristeza-Rara vez o nunca (menos de un día).,a0211-1
ultima_semana_tristeza-Pocas veces o alguna vez (1-2 días).,a0211-2
ultima_semana_tristeza-Un número de veces conside-rable (3-4 dias).,a0211-3
ultima_semana_tristeza-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0211-4
ultima_semana_concentrarse-Rara vez o nunca (menos de un día).,a0212-1
ultima_semana_concentrarse-Pocas veces o alguna vez (1-2 días).,a0212-2
ultima_semana_concentrarse-Un número de veces conside-rable (3-4 dias).,a0212-3
ultima_semana_concentrarse-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0212-4
ultima_semana_deprimido-Rara vez o nunca (menos de un día).,a0213-1
ultima_semana_deprimido-Pocas veces o alguna vez (1-2 días).,a0213-2
ultima_semana_deprimido-Un número de veces conside-rable (3-4 dias).,a0213-3
ultima_semana_deprimido-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0213-4
ultima_semana_esfuerzo-Rara vez o nunca (menos de un día).,a0214-1
ultima_semana_esfuerzo-Pocas veces o alguna vez (1-2 días).,a0214-2
ultima_semana_esfuerzo-Un número de veces conside-rable (3-4 dias).,a0214-3
ultima_semana_esfuerzo-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0214-4
ultima_semana_durmio_bien-Rara vez o nunca (menos de un día).,a0215-1
ultima_semana_durmio_bien-Pocas veces o alguna vez (1-2 días).,a0215-2
ultima_semana_durmio_bien-Un número de veces conside-rable (3-4 dias).,a0215-3
ultima_semana_durmio_bien-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0215-4
ultima_semana_disfrute-Rara vez o nunca (menos de un día).,a0216-1
ultima_semana_disfrute-Pocas veces o alguna vez (1-2 días).,a0216-2
ultima_semana_disfrute-Un número de veces conside-rable (3-4 dias).,a0216-3
ultima_semana_disfrute-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0216-4
ultima_semana_triste-Rara vez o nunca (menos de un día).,a0217-1
ultima_semana_triste-Pocas veces o alguna vez (1-2 días).,a0217-2
ultima_semana_triste-Un número de veces conside-rable (3-4 dias).,a0217-3
ultima_semana_triste-Todo el tiempo o la mayoría del tiempo    (5-7 días).,a0217-4
medico_dicho_depresion-Sí,a0202-1
medico_dicho_depresion-No,a0202-2
tx_para_depresion-Sí,a0203-1
tx_para_depresion-No,a0203-2
tx_para_depresion-No responde,a0203-8
toma_medicamento_depretion-Sí,a0204-1
toma_medicamento_depretion-No,a0204-2
toma_medicamento_depretion-No responde,a0204-8
medico_dicho_diabetes-SÍ.,a0301-1
"medico_dicho_diabetes-Sí, durante el embarazo  (solo mujeres, diabetes gestacional",a0301-2
medico_dicho_diabetes-NO.,a0301-3
visita_medico_diabetes-Ninguna.,a0303cod-1
visita_medico_diabetes-Diario.,a0303cod-2
visita_medico_diabetes-Semanal.,a0303cod-3
visita_medico_diabetes-Mensual.,a0303cod-4
visita_medico_diabetes-Anual.,a0303cod-5
servicio_control_diabetes-Instituto Mexicano del Seguro Social (IMSS).,a0305-1
servicio_control_diabetes-ISSSTE/ISSSTE Estatal.,a0305-2
servicio_control_diabetes-PEMEX.,a0305-3
servicio_control_diabetes-Defensa.,a0305-4
servicio_control_diabetes-Marina.,a0305-5
servicio_control_diabetes-Centro de Salud u Hospital de la SSA.,a0305-6
servicio_control_diabetes-IMSS Bienestar (antes Oportunidades).,a0305-7
"servicio_control_diabetes-DIF federal, estatal o municipal.",a0305-8
servicio_control_diabetes-Cruz Roja/Cruz Verde.,a0305-9
servicio_control_diabetes-Instituto Nacional de Salud.,a0305-10
servicio_control_diabetes-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar,a0305-11
servicio_control_diabetes-Consultorios pertenecientes a farmacias/Farmacias con consul,a0305-12
servicio_control_diabetes-Consultorio dentro de hospital privado.,a0305-13
servicio_control_diabetes-Área de urgencias/hospitalización dentro de hospital privado,a0305-14
servicio_control_diabetes-Atención privada en torre de consultorios médicos o en una c,a0305-15
servicio_control_diabetes-Consultorio en domicilio particular de médico privado.,a0305-16
servicio_control_diabetes-Atención privada en mi domicilio.,a0305-17
"servicio_control_diabetes-Atención privada vía remota (teléfono, mensajes de texto, te",a0305-18
servicio_control_diabetes-Médico laboral (médico de la empresa).,a0305-19
"servicio_control_diabetes-Curandero, hierbero, naturista.",a0305-20
"servicio_control_diabetes-Homeópata, partera, acupunturista.",a0305-21
servicio_control_diabetes-Otro (especifique).,a0305-22
servicio_control_diabetes-No sabe / No recuerda.,a0305-23
servicio_control_diabetes-Ninguna.,a0305-24
scd_medicion_glucosa-Si.,a0306a-1
scd_medicion_glucosa-No.,a0306a-2
scd_medicion_glucosa-No Sabe/No responde.,a0306a-9
scd_medicion_presion-Si.,a0306b-1
scd_medicion_presion-No.,a0306b-2
scd_medicion_presion-No Sabe/No responde.,a0306b-9
scd_medicion_peso-Si.,a0306c-1
scd_medicion_peso-No.,a0306c-2
scd_medicion_peso-No Sabe/No responde.,a0306c-9
scd_medicion_reviso_pies-Si.,a0306d-1
scd_medicion_reviso_pies-No.,a0306d-2
scd_medicion_reviso_pies-No Sabe/No responde.,a0306d-9
scd_sugerencia_alimentaria-Si.,a0306e-1
scd_sugerencia_alimentaria-No.,a0306e-2
scd_sugerencia_alimentaria-No Sabe/No responde.,a0306e-9
scd_sugerencia_act_fisica-Si.,a0306f-1
scd_sugerencia_act_fisica-No.,a0306f-2
scd_sugerencia_act_fisica-No Sabe/No responde.,a0306f-9
scd_sugerencia_control_diab-Si.,a0306g-1
scd_sugerencia_control_diab-No.,a0306g-2
scd_sugerencia_control_diab-No Sabe/No responde.,a0306g-9
scd_medicion_vista-Si.,a0306h-1
scd_medicion_vista-No.,a0306h-2
scd_medicion_vista-No Sabe/No responde.,a0306h-9
scd_revision_dental-Si.,a0306i-1
scd_revision_dental-No.,a0306i-2
scd_revision_dental-No Sabe/No responde.,a0306i-9
scd_quimica_sanguinea-Si.,a0306j-1
scd_quimica_sanguinea-No.,a0306j-2
scd_quimica_sanguinea-No Sabe/No responde.,a0306j-9
scd_medicion_orina-Si.,a0306k-1
scd_medicion_orina-No.,a0306k-2
scd_medicion_orina-No Sabe/No responde.,a0306k-9
scd_explico_medicamentos-Si.,a0306l-1
scd_explico_medicamentos-No.,a0306l-2
scd_explico_medicamentos-No Sabe/No responde.,a0306l-9
"medicado_insulina_control_azucar-Sí, solo insulina.",a0307-1
"medicado_insulina_control_azucar-Sí, solo pastillas.",a0307-2
"medicado_insulina_control_azucar-Sí, ambas.",a0307-3
medicado_insulina_control_azucar-Ninguno.,a0307-4
insulina_todos_dias-SÍ.,a0310-1
insulina_todos_dias-NO.,a0310-2
insulina_todos_dias-No responde.,a0310-8
tx_control_azucar_otro_1-Plan de alimentación (dieta recomendada por personal de salu,a0312a-1
tx_control_azucar_otro_1-Plan de ejercicio físico.,a0312a-2
tx_control_azucar_otro_1-Medicina alternativa.,a0312a-3
tx_control_azucar_otro_1-Otros.,a0312a-4
tx_control_azucar_otro_1-Ninguno.,a0312a-5
tx_control_azucar_otro_2-Plan de alimentación (dieta recomendada por personal de salu,a0312b-1
tx_control_azucar_otro_2-Plan de ejercicio físico.,a0312b-2
tx_control_azucar_otro_2-Medicina alternativa.,a0312b-3
tx_control_azucar_otro_2-Otros.,a0312b-4
tx_control_azucar_otro_2-Ninguno.,a0312b-5
tx_ultimos_6meses_suspendido-Sí.,a0313-1
tx_ultimos_6meses_suspendido-No.,a0313-2
tx_ultimos_6meses_suspendido-No sabe.,a0313-9
tx_ultimos_suspendido_causa-Se le olvidó tomar los medicamentos.,a0314-1
tx_ultimos_suspendido_causa-Consideró que no lo necesitaba.,a0314-2
tx_ultimos_suspendido_causa-Tuvo miedo a la hipoglucemia.,a0314-3
tx_ultimos_suspendido_causa-Tuvo temor sobre la seguridad del medicamento.,a0314-4
tx_ultimos_suspendido_causa-No le surtieron los medicamentos en la unidad  Médica.,a0314-5
tx_ultimos_suspendido_causa-No encontró el medicamento en la farmacia.,a0314-6
tx_ultimos_suspendido_causa-No tuvo dinero para comprarlo(s).,a0314-7
tx_ultimos_suspendido_causa-Otro.,a0314-8
ult_anio_evitar_comp_diab_medida_1-Revisión de la vista.,a0315a-1
ult_anio_evitar_comp_diab_medida_1-Toma una aspirina diaria.,a0315a-2
ult_anio_evitar_comp_diab_medida_1-Revisión de pies.,a0315a-3
ult_anio_evitar_comp_diab_medida_1-Examen general de orina.,a0315a-4
ult_anio_evitar_comp_diab_medida_1-Microalbuminuria (con recolección de orina de 24 horas).,a0315a-5
ult_anio_evitar_comp_diab_medida_1-Medición de la presión arterial.,a0315a-6
ult_anio_evitar_comp_diab_medida_1-Aplicación de vacuna contra influenza.,a0315a-7
ult_anio_evitar_comp_diab_medida_1-Aplicación de vacuna contra neumococo.,a0315a-8
ult_anio_evitar_comp_diab_medida_1-Medición del colesterol y los triglicéridos.,a0315a-9
ult_anio_evitar_comp_diab_medida_1-Toma un medicamento para disminuir la concentración de coles,a0315a-10
ult_anio_evitar_comp_diab_medida_1-Toma un medicamento para el control de su presión arterial (,a0315a-11
ult_anio_evitar_comp_diab_medida_1-Dejó de fumar.,a0315a-12
ult_anio_evitar_comp_diab_medida_1-Revisión dental.,a0315a-13
ult_anio_evitar_comp_diab_medida_1-Recibió educación sobre su enfermedad.,a0315a-14
ult_anio_evitar_comp_diab_medida_1-Electrocardiograma.,a0315a-15
ult_anio_evitar_comp_diab_medida_1-Evita calzado que pueda lesionar   sus pies.,a0315a-16
ult_anio_evitar_comp_diab_medida_1-Acude a algún grupo de ayuda mutua.,a0315a-17
ult_anio_evitar_comp_diab_medida_1-Otro (especifica).,a0315a-18
ult_anio_evitar_comp_diab_medida_1-No realiza ninguna medida preventiva.,a0315a-19
ult_anio_evitar_comp_diab_medida_1-Medición de glucosa en sangre capilar en casa.,a0315a-20
ult_anio_evitar_comp_diab_medida_1-Determinación de glucosa en sangre venosa.,a0315a-21
ult_anio_evitar_comp_diab_medida_1-Determinación de hemoglobina glucosilada.,a0315a-22
ult_anio_evitar_comp_diab_medida_2-Revisión de la vista.,a0315b-1
ult_anio_evitar_comp_diab_medida_2-Toma una aspirina diaria.,a0315b-2
ult_anio_evitar_comp_diab_medida_2-Revisión de pies.,a0315b-3
ult_anio_evitar_comp_diab_medida_2-Examen general de orina.,a0315b-4
ult_anio_evitar_comp_diab_medida_2-Microalbuminuria (con recolección de orina de 24 horas).,a0315b-5
ult_anio_evitar_comp_diab_medida_2-Medición de la presión arterial.,a0315b-6
ult_anio_evitar_comp_diab_medida_2-Aplicación de vacuna contra influenza.,a0315b-7
ult_anio_evitar_comp_diab_medida_2-Aplicación de vacuna contra neumococo.,a0315b-8
ult_anio_evitar_comp_diab_medida_2-Medición del colesterol y los triglicéridos.,a0315b-9
ult_anio_evitar_comp_diab_medida_2-Toma un medicamento para disminuir la concentración de coles,a0315b-10
ult_anio_evitar_comp_diab_medida_2-Toma un medicamento para el control de su presión arterial (,a0315b-11
ult_anio_evitar_comp_diab_medida_2-Dejó de fumar.,a0315b-12
ult_anio_evitar_comp_diab_medida_2-Revisión dental.,a0315b-13
ult_anio_evitar_comp_diab_medida_2-Recibió educación sobre su enfermedad.,a0315b-14
ult_anio_evitar_comp_diab_medida_2-Electrocardiograma.,a0315b-15
ult_anio_evitar_comp_diab_medida_2-Evita calzado que pueda lesionar   sus pies.,a0315b-16
ult_anio_evitar_comp_diab_medida_2-Acude a algún grupo de ayuda mutua.,a0315b-17
ult_anio_evitar_comp_diab_medida_2-Otro (especifica).,a0315b-18
ult_anio_evitar_comp_diab_medida_2-No realiza ninguna medida preventiva.,a0315b-19
ult_anio_evitar_comp_diab_medida_2-Medición de glucosa en sangre capilar en casa.,a0315b-20
ult_anio_evitar_comp_diab_medida_2-Determinación de glucosa en sangre venosa.,a0315b-21
ult_anio_evitar_comp_diab_medida_2-Determinación de hemoglobina glucosilada.,a0315b-22
ult_anio_evitar_comp_diab_medida_3-Revisión de la vista.,a0315c-1
ult_anio_evitar_comp_diab_medida_3-Toma una aspirina diaria.,a0315c-2
ult_anio_evitar_comp_diab_medida_3-Revisión de pies.,a0315c-3
ult_anio_evitar_comp_diab_medida_3-Examen general de orina.,a0315c-4
ult_anio_evitar_comp_diab_medida_3-Microalbuminuria (con recolección de orina de 24 horas).,a0315c-5
ult_anio_evitar_comp_diab_medida_3-Medición de la presión arterial.,a0315c-6
ult_anio_evitar_comp_diab_medida_3-Aplicación de vacuna contra influenza.,a0315c-7
ult_anio_evitar_comp_diab_medida_3-Aplicación de vacuna contra neumococo.,a0315c-8
ult_anio_evitar_comp_diab_medida_3-Medición del colesterol y los triglicéridos.,a0315c-9
ult_anio_evitar_comp_diab_medida_3-Toma un medicamento para disminuir la concentración de coles,a0315c-10
ult_anio_evitar_comp_diab_medida_3-Toma un medicamento para el control de su presión arterial (,a0315c-11
ult_anio_evitar_comp_diab_medida_3-Dejó de fumar.,a0315c-12
ult_anio_evitar_comp_diab_medida_3-Revisión dental.,a0315c-13
ult_anio_evitar_comp_diab_medida_3-Recibió educación sobre su enfermedad.,a0315c-14
ult_anio_evitar_comp_diab_medida_3-Electrocardiograma.,a0315c-15
ult_anio_evitar_comp_diab_medida_3-Evita calzado que pueda lesionar   sus pies.,a0315c-16
ult_anio_evitar_comp_diab_medida_3-Acude a algún grupo de ayuda mutua.,a0315c-17
ult_anio_evitar_comp_diab_medida_3-Otro (especifica).,a0315c-18
ult_anio_evitar_comp_diab_medida_3-No realiza ninguna medida preventiva.,a0315c-19
ult_anio_evitar_comp_diab_medida_3-Medición de glucosa en sangre capilar en casa.,a0315c-20
ult_anio_evitar_comp_diab_medida_3-Determinación de glucosa en sangre venosa.,a0315c-21
ult_anio_evitar_comp_diab_medida_3-Determinación de hemoglobina glucosilada.,a0315c-22
ult_anio_evitar_comp_diab_medida_4-Revisión de la vista.,a0315d-1
ult_anio_evitar_comp_diab_medida_4-Toma una aspirina diaria.,a0315d-2
ult_anio_evitar_comp_diab_medida_4-Revisión de pies.,a0315d-3
ult_anio_evitar_comp_diab_medida_4-Examen general de orina.,a0315d-4
ult_anio_evitar_comp_diab_medida_4-Microalbuminuria (con recolección de orina de 24 horas).,a0315d-5
ult_anio_evitar_comp_diab_medida_4-Medición de la presión arterial.,a0315d-6
ult_anio_evitar_comp_diab_medida_4-Aplicación de vacuna contra influenza.,a0315d-7
ult_anio_evitar_comp_diab_medida_4-Aplicación de vacuna contra neumococo.,a0315d-8
ult_anio_evitar_comp_diab_medida_4-Medición del colesterol y los triglicéridos.,a0315d-9
ult_anio_evitar_comp_diab_medida_4-Toma un medicamento para disminuir la concentración de coles,a0315d-10
ult_anio_evitar_comp_diab_medida_4-Toma un medicamento para el control de su presión arterial (,a0315d-11
ult_anio_evitar_comp_diab_medida_4-Dejó de fumar.,a0315d-12
ult_anio_evitar_comp_diab_medida_4-Revisión dental.,a0315d-13
ult_anio_evitar_comp_diab_medida_4-Recibió educación sobre su enfermedad.,a0315d-14
ult_anio_evitar_comp_diab_medida_4-Electrocardiograma.,a0315d-15
ult_anio_evitar_comp_diab_medida_4-Evita calzado que pueda lesionar   sus pies.,a0315d-16
ult_anio_evitar_comp_diab_medida_4-Acude a algún grupo de ayuda mutua.,a0315d-17
ult_anio_evitar_comp_diab_medida_4-Otro (especifica).,a0315d-18
ult_anio_evitar_comp_diab_medida_4-No realiza ninguna medida preventiva.,a0315d-19
ult_anio_evitar_comp_diab_medida_4-Medición de glucosa en sangre capilar en casa.,a0315d-20
ult_anio_evitar_comp_diab_medida_4-Determinación de glucosa en sangre venosa.,a0315d-21
ult_anio_evitar_comp_diab_medida_4-Determinación de hemoglobina glucosilada.,a0315d-22
x_diab_ulceras-SI,a0316a-1
x_diab_ulceras-NO,a0316a-2
x_diab_amputacion-SI,a0316b-1
x_diab_amputacion-NO,a0316b-2
x_diab_disminuido_vision-SI,a0316c-1
x_diab_disminuido_vision-NO,a0316c-2
x_diab_perdida_vision-SI,a0316d-1
x_diab_perdida_vision-NO,a0316d-2
x_diab_dialisis-SI,a0316e-1
x_diab_dialisis-NO,a0316e-2
x_diab_infarto_corazon-SI,a0316f-1
x_diab_infarto_corazon-NO,a0316f-2
x_diab_infarto_cerebral-SI,a0316g-1
x_diab_infarto_cerebral-NO,a0316g-2
x_diab_pie_diabetico-SI,a0316h-1
x_diab_pie_diabetico-NO,a0316h-2
x_diab_coma_diabetico-SI,a0316i-1
x_diab_coma_diabetico-NO,a0316i-2
x_diab_episodio_diverso-SI,a0316j-1
x_diab_episodio_diverso-NO,a0316j-2
dx_presion_alta-SÍ.,a0401-1
"dx_presion_alta-SÍ, durante el embarazo.",a0401-2
dx_presion_alta-NO.,a0401-3
dx_presion_alta_embarazada-SÍ.,a0403-1
dx_presion_alta_embarazada-NO.,a0403-2
tx_control_presion_alta-SÍ.,a0404-1
tx_control_presion_alta-NO.,a0404-2
lugar_atiende_presion-Instituto Mexicano del Seguro Social (IMSS).,a0407-1
lugar_atiende_presion-ISSSTE/ISSSTE Estatal.,a0407-2
lugar_atiende_presion-PEMEX.,a0407-3
lugar_atiende_presion-Defensa.,a0407-4
lugar_atiende_presion-Marina.,a0407-5
lugar_atiende_presion-Centro de Salud u Hospital de la SSA.,a0407-6
lugar_atiende_presion-IMSS Bienestar (antes Oportunidades).,a0407-7
"lugar_atiende_presion-DIF federal, estatal o municipal.",a0407-8
lugar_atiende_presion-Cruz Roja/Cruz Verde.,a0407-9
lugar_atiende_presion-Instituto Nacional de Salud.,a0407-10
lugar_atiende_presion-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar,a0407-11
lugar_atiende_presion-Consultorios pertenecientes a farmacias/Farmacias con consul,a0407-12
lugar_atiende_presion-Consultorio dentro de hospital privado.,a0407-13
lugar_atiende_presion-Área de urgencias/hospitalización dentro de hospital privado,a0407-14
lugar_atiende_presion-Atención privada en torre de consultorios médicos o en una c,a0407-15
lugar_atiende_presion-Consultorio en domicilio particular de médico privado.,a0407-16
lugar_atiende_presion-Atención privada en mi domicilio.,a0407-17
"lugar_atiende_presion-Atención privada vía remota (teléfono, mensajes de texto, te",a0407-18
lugar_atiende_presion-Médico laboral (médico de la empresa).,a0407-19
"lugar_atiende_presion-Curandero, hierbero, naturista.",a0407-20
"lugar_atiende_presion-Homeópata, partera, acupunturista.",a0407-21
lugar_atiende_presion-Otro (especifique).,a0407-22
lugar_atiende_presion-No sabe / No recuerda.,a0407-23
lugar_atiende_presion-Ninguna.,a0407-24
tx_adicional_control_presion_1-Plan de alimentación (dieta recomendada por personal de salu,a0408a-1
tx_adicional_control_presion_1-Realiza algún ejercicio físico.,a0408a-2
tx_adicional_control_presion_1-Disminución en el consumo de sal.,a0408a-3
tx_adicional_control_presion_1-Medicina alternativa.,a0408a-4
tx_adicional_control_presion_1-Ninguno.,a0408a-5
tx_adicional_control_presion_2-Plan de alimentación (dieta recomendada por personal de salu,a0408b-1
tx_adicional_control_presion_2-Realiza algún ejercicio físico.,a0408b-2
tx_adicional_control_presion_2-Disminución en el consumo de sal.,a0408b-3
tx_adicional_control_presion_2-Medicina alternativa.,a0408b-4
tx_adicional_control_presion_2-Ninguno.,a0408b-5
ult_anio_frec_medir_presion-Diario.,a0409-1
ult_anio_frec_medir_presion-Semanal.,a0409-2
ult_anio_frec_medir_presion-Mensual.,a0409-3
ult_anio_frec_medir_presion-Anual.,a0409-4
ult_anio_frec_medir_presion-No se la toman,a0409-5
x_hpt_danio_retina-SI.,a04010a-1
x_hpt_danio_retina-NO.,a04010a-2
x_hpt_dialisis-SI.,a04010b-1
x_hpt_dialisis-NO.,a04010b-2
x_hpt_infarto_corazon-SI.,a04010c-1
x_hpt_infarto_corazon-NO.,a04010c-2
x_hpt_infarto_cerebral-SI.,a04010d-1
x_hpt_infarto_cerebral-NO.,a04010d-2
x_hpt_urgencias_ult_anio-SI.,a04010e-1
x_hpt_urgencias_ult_anio-NO.,a04010e-2
x_hpt_hospitalizado_ult_dos_anios-SI.,a04010f-1
x_hpt_hospitalizado_ult_dos_anios-NO.,a04010f-2
x_hpt_episodio_diverso-SÍ.,a0501-1
x_hpt_episodio_diverso-NO.,a0501-2
dich_medico_tuvo_infarto-SÍ.,a0502a-1
dich_medico_tuvo_infarto-NO.,a0502a-2
dich_medico_tuvo_angina-SÍ.,a0502b-1
dich_medico_tuvo_angina-NO.,a0502b-2
dich_medico_tuvo_insuf_card-SÍ.,a0502c-1
dich_medico_tuvo_insuf_card-NO.,a0502c-2
dich_medico_tuvo_infarto_cereb-SÍ.,a0506-1
dich_medico_tuvo_infarto_cereb-NO.,a0506-2
dich_medico_tuvo_infarto_cereb-No sabe.,a0506-9
dich_medico_padece_enf_renal-SI.,a0601a-1
dich_medico_padece_enf_renal-NO.,a0601a-2
dich_medico_padece_calculo_renal-SI.,a0601b-1
dich_medico_padece_calculo_renal-NO.,a0601b-2
tx_enf_renal_dieta_sin_sal-SI.,a0602a-1
tx_enf_renal_dieta_sin_sal-NO.,a0602a-2
tx_enf_renal_medicamentos-SI.,a0602b-1
tx_enf_renal_medicamentos-NO.,a0602b-2
tx_enf_renal_dialisis-SI.,a0602c-1
tx_enf_renal_dialisis-NO.,a0602c-2
tx_enf_renal_hemodialisis-SI.,a0602d-1
tx_enf_renal_hemodialisis-NO.,a0602d-2
tx_enf_renal_medic_alterna-SI.,a0602e-1
tx_enf_renal_medic_alterna-NO.,a0602e-2
tx_enf_renal_otro-SI.,a0602f-1
tx_enf_renal_otro-NO.,a0602f-2
tx_enf_renal_ninguno-SI.,a0602g-1
tx_enf_renal_ninguno-NO.,a0602g-2
medicion_col_trig-SÍ.,a0603-1
medicion_col_trig-NO.,a0603-2
medicion_col_trig-No sabe.,a0603-9
dich_medico_col_alto-SI.,a0604-1
dich_medico_col_alto-NO.,a0604-2
accion_control_col_alto_1-Medicamento.,a0605a-1
accion_control_col_alto_1-Dieta.,a0605a-2
accion_control_col_alto_1-Aumento de actividad física.,a0605a-3
accion_control_col_alto_1-Medicina Alternativa,a0605a-4
accion_control_col_alto_1-Ninguna.,a0605a-5
accion_control_col_alto_2-Medicamento.,a0605b-1
accion_control_col_alto_2-Dieta.,a0605b-2
accion_control_col_alto_2-Aumento de actividad física.,a0605b-3
accion_control_col_alto_2-Medicina Alternativa,a0605b-4
accion_control_col_alto_2-Ninguna.,a0605b-5
dich_medico_trig_alto-SI.,a0606-1
dich_medico_trig_alto-NO.,a0606-2
accion_control_trig_alto_1-Medicamento.,a0607a-1
accion_control_trig_alto_1-Dieta.,a0607a-2
accion_control_trig_alto_1-Aumento de actividad física.,a0607a-3
accion_control_trig_alto_1-Medicina Alternativa,a0607a-4
accion_control_trig_alto_1-Ninguna.,a0607a-5
accion_control_trig_alto_2-Medicamento.,a0607b-1
accion_control_trig_alto_2-Dieta.,a0607b-2
accion_control_trig_alto_2-Aumento de actividad física.,a0607b-3
accion_control_trig_alto_2-Medicina Alternativa,a0607b-4
accion_control_trig_alto_2-Ninguna.,a0607b-5
"accion_control_trig_col_alto_1-Pravastatina, atorvastatina simvastatina, rosuvastatina, pit",a0608a-1
"accion_control_trig_col_alto_1-Bezafibrato, fenofibrato, gemfibrozil, ciprofibrato.",a0608a-2
accion_control_trig_col_alto_1-Otros.,a0608a-3
accion_control_trig_col_alto_1-Ninguna,a0608a-4
"accion_control_trig_col_alto_2-Pravastatina, atorvastatina simvastatina, rosuvastatina, pit",a0608b-1
"accion_control_trig_col_alto_2-Bezafibrato, fenofibrato, gemfibrozil, ciprofibrato.",a0608b-2
accion_control_trig_col_alto_2-Otros.,a0608b-3
accion_control_trig_col_alto_2-Ninguna,a0608b-4
tiene_tuvo_hermanos-SI,a07her-1
tiene_tuvo_hermanos-NO,a07her-2
padre_presion_alta-SI.,a0701p-1
padre_presion_alta-NO.,a0701p-2
padre_presion_alta-NO SABE.,a0701p-9
padre_diab_azucar_alta-SI.,a0702p-1
padre_diab_azucar_alta-NO.,a0702p-2
padre_diab_azucar_alta-NO SABE.,a0702p-9
padre_tuvo_infarto-SI.,a0703p-1
padre_tuvo_infarto-NO.,a0703p-2
padre_tuvo_infarto-NO SABE.,a0703p-9
edad_padre_infarto_1-<50.,a0704p-1
edad_padre_infarto_1->=50.,a0704p-2
edad_padre_infarto_1-NO SABE.,a0704p-9
padre_col_trig_alto-SI.,a0705p-1
padre_col_trig_alto-NO.,a0705p-2
padre_col_trig_alto-NO SABE.,a0705p-9
madre_diab_azucar_alta-SI.,a0701m-1
madre_diab_azucar_alta-NO.,a0701m-2
madre_diab_azucar_alta-NO SABE.,a0701m-9
madre_presion_alta-SI.,a0702m-1
madre_presion_alta-NO.,a0702m-2
madre_presion_alta-NO SABE.,a0702m-9
madre_tuvo_infarto-SI.,a0703m-1
madre_tuvo_infarto-NO.,a0703m-2
madre_tuvo_infarto-NO SABE.,a0703m-9
edad_madre_infarto_1-<50.,a0704m-1
edad_madre_infarto_1->=50.,a0704m-2
edad_madre_infarto_1-NO SABE.,a0704m-9
madre_col_trig_alto-SI.,a0705m-1
madre_col_trig_alto-NO.,a0705m-2
madre_col_trig_alto-NO SABE.,a0705m-9
hmno_diab_azucar_alta-SI.,a0701h-1
hmno_diab_azucar_alta-NO.,a0701h-2
hmno_diab_azucar_alta-NO SABE.,a0701h-9
hmno_presion_alta-SI.,a0702h-1
hmno_presion_alta-NO.,a0702h-2
hmno_presion_alta-NO SABE.,a0702h-9
hmno_tuvo_infarto-SI.,a0703h-1
hmno_tuvo_infarto-NO.,a0703h-2
hmno_tuvo_infarto-NO SABE.,a0703h-9
edad_hmno_infarto_1-<50.,a0704h-1
edad_hmno_infarto_1->=50.,a0704h-2
edad_hmno_infarto_1-NO SABE.,a0704h-9
hmno_col_trig_alto-SI.,a0705h-1
hmno_col_trig_alto-NO.,a0705h-2
hmno_col_trig_alto-NO SABE.,a0705h-9
primera_rel_sex_evita_enf_1-Condón o preservativo masculino.,a0803a-1
primera_rel_sex_evita_enf_1-Condón femenino.,a0803a-2
primera_rel_sex_evita_enf_1-Pastillas de anticoncepción de emergencia o del día siguient,a0803a-3
primera_rel_sex_evita_enf_1-Pastillas o píldoras.,a0803a-4
primera_rel_sex_evita_enf_1-Inyecciones.,a0803a-5
primera_rel_sex_evita_enf_1-Parche anticonceptivo.,a0803a-6
"primera_rel_sex_evita_enf_1-Dispositivo, DIU o aparato.",a0803a-7
"primera_rel_sex_evita_enf_1-Implantes, tubos o norplant.",a0803a-8
"primera_rel_sex_evita_enf_1-Óvulos, jaleas, espuma o diafragma.",a0803a-9
"primera_rel_sex_evita_enf_1-Ritmo, calendario, termómetro, Billings.",a0803a-10
primera_rel_sex_evita_enf_1-Retiro o coito interrumpido.,a0803a-11
